SYMBOL,COUNTRY,WEBSITE,INDUSTRY,SECTOR
AIMDW,United States,https://www.ainos.com,Medical Devices,Healthcare
EXK,Canada,https://www.edrsilver.com,Other Precious Metals & Mining,Basic Materials
IMMR,United States,https://www.immersion.com,Software - Application,Technology
MATW,United States,https://www.matw.com,Conglomerates,Industrials
KWESW,Canada,https://www.kwesst.com,Aerospace & Defense,Industrials
EBAY,United States,https://www.ebayinc.com,Internet Retail,Consumer Cyclical
INTS,United States,https://www.intensitytherapeutics.com,Biotechnology,Healthcare
TRNS,United States,https://www.transcat.com,Industrial Distribution,Industrials
KTTA,United States,https://www.pasithea.com,Biotechnology,Healthcare
HQI,United States,https://hirequest.com,Staffing & Employment Services,Industrials
FFIC,United States,https://www.flushingbank.com,Banks—Regional,Financial Services
MHO,United States,https://www.mihomes.com,Residential Construction,Consumer Cyclical
PRKS,United States,https://www.unitedparks.com,Leisure,Consumer Cyclical
ROK,United States,https://www.rockwellautomation.com,Specialty Industrial Machinery,Industrials
BWIN,United States,https://www.baldwin.com,Insurance Brokers,Financial Services
HUM,United States,https://www.humana.com,Healthcare Plans,Healthcare
SAIH,Singapore,https://www.saiheat.com,Information Technology Services,Technology
TGTX,United States,https://www.tgtherapeutics.com,Biotechnology,Healthcare
HSPOW,United States,,Shell Companies,Financial Services
JOUT,United States,https://www.johnsonoutdoors.com,Leisure,Consumer Cyclical
NAMSW,Netherlands,https://www.newamsterdampharma.com,Biotechnology,Healthcare
LODE,United States,https://www.comstock.inc,Other Precious Metals & Mining,Basic Materials
UI,United States,https://www.ui.com,Communication Equipment,Technology
ANF,United States,https://www.abercrombie.com,Apparel Retail,Consumer Cyclical
GDSTW,United States,,Shell Companies,Financial Services
CBZ,United States,https://www.cbiz.com,Specialty Business Services,Industrials
SGC,United States,https://www.superiorgroupofcompanies.com,Apparel Manufacturing,Consumer Cyclical
TLPH,United States,https://talphera.com,Drug Manufacturers - Specialty & Generic,Healthcare
BNL,United States,https://www.broadstone.com,REIT—Diversified,Real Estate
BORR,Bermuda,https://borrdrilling.com,Oil & Gas Drilling,Energy
ISDR,United States,https://www.issuerdirect.com,Software - Application,Technology
ARDT,United States,https://www.ardenthealth.com,Medical Care Facilities,Healthcare
BCH,Chile,https://portales.bancochile.cl,Banks—Regional,Financial Services
WINVR,United States,,,
AEHL,United States,https://www.aehltd.com,Building Products & Equipment,Industrials
SKYX,United States,https://www.skyplug.com,Electrical Equipment & Parts,Industrials
CEV,United States,https://funds.eatonvance.com/California-Municipal-Income-Trust-CEV.php,Asset Management,Financial Services
EQNR,Norway,https://www.equinor.com,Oil & Gas Integrated,Energy
SEMR,United States,https://www.semrush.com,Software—Application,Technology
ERAS,United States,https://www.erasca.com,Biotechnology,Healthcare
NX,United States,https://www.quanex.com,Building Products & Equipment,Industrials
GNRC,United States,https://www.generac.com,Specialty Industrial Machinery,Industrials
YHNAU,Hong Kong,,Shell Companies,Financial Services
CVU,United States,https://www.cpiaero.com,Aerospace & Defense,Industrials
YI,China,https://corporate.111.com.cn,Medical Distribution,Healthcare
LYG,United Kingdom,https://www.lloydsbankinggroup.com,Banks—Regional,Financial Services
VKTX,United States,https://www.vikingtherapeutics.com,Biotechnology,Healthcare
ATRO,United States,https://www.astronics.com,Aerospace & Defense,Industrials
MI,Hong Kong,https://www.nftoeo.com,Internet Retail,Consumer Cyclical
NIO,China,https://www.nio.com,Auto Manufacturers,Consumer Cyclical
HLVX,United States,https://www.hillevax.com,Biotechnology,Healthcare
GKOS,United States,https://www.glaukos.com,Medical Devices,Healthcare
PFS,United States,https://www.provident.bank,Banks—Regional,Financial Services
CHCT,United States,https://www.chct.reit,REIT - Healthcare Facilities,Real Estate
HMN,United States,https://www.horacemann.com,Insurance—Property & Casualty,Financial Services
FATE,United States,https://www.fatetherapeutics.com,Biotechnology,Healthcare
XWEL,United States,https://www.xwell.com,Diagnostics & Research,Healthcare
TUSK,United States,https://www.mammothenergy.com,Conglomerates,Industrials
DTC,United States,https://solobrands.com,Internet Retail,Consumer Cyclical
AIMAW,United States,,Shell Companies,Financial Services
TG,United States,https://www.tredegar.com,Metal Fabrication,Industrials
CLWT,Hong Kong,https://www.euro-tech.com,Pollution & Treatment Controls,Industrials
LPX,United States,https://www.lpcorp.com,Building Products & Equipment,Industrials
LNG,United States,https://www.cheniere.com,Oil & Gas Midstream,Energy
WHLR,United States,https://www.whlr.us,REIT - Retail,Real Estate
USAC,United States,https://www.usacompression.com,Oil & Gas Equipment & Services,Energy
ALLR,United States,https://www.allarity.com,Biotechnology,Healthcare
GSUN,China,https://www.jtyjyjt.com,Education & Training Services,Consumer Defensive
RMTI,United States,https://www.rockwellmed.com,Drug Manufacturers - Specialty & Generic,Healthcare
RVMD,United States,https://www.revmed.com,Biotechnology,Healthcare
NATR,United States,https://www.naturessunshine.com,Packaged Foods,Consumer Defensive
SABR,United States,https://www.sabre.com,Software—Infrastructure,Technology
APXI,United States,,Shell Companies,Financial Services
PHAT,United States,https://www.phathompharma.com,Biotechnology,Healthcare
GROY,Canada,https://www.goldroyalty.com,Gold,Basic Materials
DIOD,United States,https://www.diodes.com,Semiconductors,Technology
SBRA,United States,https://www.sabrahealth.com,REIT—Healthcare Facilities,Real Estate
NGVT,United States,https://www.ingevity.com,Specialty Chemicals,Basic Materials
CCL,United States,https://www.carnivalcorp.com,Travel Services,Consumer Cyclical
MAMA,United States,https://www.mamascreations.com,Packaged Foods,Consumer Defensive
ATKR,United States,https://www.atkore.com,Electrical Equipment & Parts,Industrials
CSR,United States,https://www.centerspacehomes.com,REIT - Residential,Real Estate
CRGY,United States,https://www.crescentenergyco.com,Oil & Gas Integrated,Energy
IMAX,Canada,https://www.imax.com,Entertainment,Communication Services
SQ,United States,https://www.block.xyz,Software—Infrastructure,Technology
GNTY,United States,https://www.gnty.com,Banks - Regional,Financial Services
ACLX,United States,https://www.arcellx.com,Biotechnology,Healthcare
NGG,United Kingdom,https://www.nationalgrid.com,Utilities - Regulated Electric,Utilities
NGVC,United States,https://www.naturalgrocers.com,Grocery Stores,Consumer Defensive
RMBI,United States,https://www.firstbankrichmond.com,Banks - Regional,Financial Services
GELS,Australia,https://www.gelteq.com,Drug Manufacturers - Specialty & Generic,Healthcare
ABTS,Hong Kong,https://www.abitsgroup.com,Capital Markets,Financial Services
KRG,United States,https://www.kiterealty.com,REIT - Retail,Real Estate
GSIT,United States,https://gsitechnology.com,Semiconductors,Technology
UEIC,United States,https://www.uei.com,Consumer Electronics,Technology
PAG,United States,https://www.penskeautomotive.com,Auto & Truck Dealerships,Consumer Cyclical
GMRE,United States,https://www.globalmedicalreit.com,REIT—Healthcare Facilities,Real Estate
LAD,United States,https://www.lithiadriveway.com,Auto & Truck Dealerships,Consumer Cyclical
GREE,United States,https://greenidge.com,Capital Markets,Financial Services
CYTK,United States,https://www.cytokinetics.com,Biotechnology,Healthcare
VRSK,United States,https://www.verisk.com,Consulting Services,Industrials
WRN,Canada,https://www.westerncopperandgold.com,Other Industrial Metals & Mining,Basic Materials
EDN,Argentina,https://www.edenor.com,Utilities - Regulated Electric,Utilities
QLYS,United States,https://www.qualys.com,Software—Infrastructure,Technology
SOR,United States,https://www.fpafunds.com/sourcecapitalfund.asp,Asset Management,Financial Services
NMS,United States,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=NMS,Asset Management,Financial Services
HTD,United States,https://www.jhinvestments.com/Fund/ManagementCommentary.aspx?ProductType=ClosedEnd&FundID=34700&ClassCode=CE&BackToFundTableType=Price,Asset Management,Financial Services
AMGN,United States,https://www.amgen.com,Drug Manufacturers - General,Healthcare
XHG,China,https://ir.fenglinju.cn,Real Estate Services,Real Estate
BBN,United States,https://www.blackrock.com/investing/products/240174/blackrock-build-america-bond-trust-fund,Asset Management,Financial Services
PFBC,United States,https://www.preferredbank.com,Banks—Regional,Financial Services
BH,United States,https://www.biglariholdings.com,Restaurants,Consumer Cyclical
HPF,United States,https://www.jhinvestments.com/Fund/ManagementCommentary.aspx?ProductType=ClosedEnd&FundID=34100&ClassCode=CE&BackToFundTableType=Price,Asset Management,Financial Services
CLB,United States,https://www.corelab.com,Oil & Gas Equipment & Services,Energy
GHY,United States,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-global-high-yield-fund,Asset Management,Financial Services
LANDP,United States,https://www.gladstonefarms.com,REIT—Specialty,Real Estate
ME,United States,https://www.23andme.com,Diagnostics & Research,Healthcare
SHO,United States,https://www.sunstonehotels.com,REIT - Hotel & Motel,Real Estate
ETSY,United States,https://www.etsy.com,Internet Retail,Consumer Cyclical
WALDW,United Kingdom,https://www.waldencast.com,Household & Personal Products,Consumer Defensive
WMT,United States,https://corporate.walmart.com,Discount Stores,Consumer Defensive
ATMCR,United States,,,
ELTK,Israel,https://www.nisteceltek.com,Electronic Components,Technology
BDX,United States,https://www.bd.com,Medical Instruments & Supplies,Healthcare
STEC,China,https://ir.santechholdings.com,Software—Application,Technology
SOHOB,United States,https://www.sotherlyhotels.com,REIT—Hotel & Motel,Real Estate
WSC,United States,https://www.willscot.com,Rental & Leasing Services,Industrials
ZVRA,United States,https://zevra.com,Biotechnology,Healthcare
OBT,United States,https://www.orangebanktrust.com,Banks—Regional,Financial Services
OUST,United States,https://ouster.com,Electronic Components,Technology
CVCO,United States,https://www.cavco.com,Residential Construction,Consumer Cyclical
LYV,United States,https://www.livenationentertainment.com,Entertainment,Communication Services
BYND,United States,https://www.beyondmeat.com,Packaged Foods,Consumer Defensive
REVG,United States,https://www.revgroup.com,Farm & Heavy Construction Machinery,Industrials
FNB,United States,https://www.fnb-online.com,Banks—Regional,Financial Services
NRK,United States,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NRK,Asset Management,Financial Services
JBHT,United States,https://www.jbhunt.com,Integrated Freight & Logistics,Industrials
SIRI,United States,https://www.siriusxm.com,Entertainment,Communication Services
LYEL,United States,https://lyell.com,Biotechnology,Healthcare
DBX,United States,https://www.dropbox.com,Software—Infrastructure,Technology
BUJAR,Malaysia,,,
GRBK,United States,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical
AMPY,United States,https://www.amplifyenergy.com,Oil & Gas E&P,Energy
EWBC,United States,https://www.eastwestbank.com,Banks—Regional,Financial Services
GVH,Australia,https://www.globavend.com,Integrated Freight & Logistics,Industrials
IGT,United Kingdom,https://www.igt.com,Gambling,Consumer Cyclical
SPHL,Singapore,https://www.springviewggl.com,Residential Construction,Consumer Cyclical
DV,United States,https://www.doubleverify.com,Software—Application,Technology
FNF,United States,https://www.fnf.com,Insurance—Specialty,Financial Services
BRC,United States,https://www.bradyid.com,Security & Protection Services,Industrials
SLN,United Kingdom,https://www.silence-therapeutics.com,Biotechnology,Healthcare
